prompt	answer
нэвтрүүлэгчийг	нэвтрүүлэгч <acc>
зангиагаар	зангиа <ins>
бахархалд	бахархал <dat>
хувьсгалаас	хувьсгал <abl>
сульдаанаас	сульдаа <abl>
зөвлөгөөнөөр	зөвлөгөөн <ins>
шүтэлцээгээр	шүтэлцээ <ins>
утсаа	утас <voc>
аялгууны	аялгуу <gen>
ширэнгийг	ширэнгэ <acc>
авсанд	авс <dat>
хэмжээсний	хэмжээс <gen>
тохитой	тохь <com>
зогдроос	зогдор <abl>
илбэчнээ	илбэчин <voc>
холбоосонд	холбоос <dat>
холестериноор	холестерин <ins>
жимсэнд	жимс <dat>
глюкозод	глюкоз <dat>
ваарын	ваар <gen>
мөлжлөгийг	мөлжлөг <acc>
хатаагуурын	хатаагуур <gen>
бэрхийн	бэрх <gen>
тоормосыг	тоормос <acc>
радиод	радио <dat>
компаниа	компани <voc>
гичийгээр	гичий <ins>
гялтгануурыг	гялтгануур <acc>
шүршүүртэй	шүршүүр <com>
хөдөлгөөнийг	хөдөлгөөн <acc>
элэгдэлтэй	элэгдэл <com>
тариураа	тариур <voc>
өмчөөр	өмч <ins>
тавд	тав <dat>
дуугаа	дуу <voc>
цондонгоо	цондон <voc>
төсөвт	төсөв <dat>
сульдаатай	сульдаа <com>
өчлөөс	өчил <abl>
хуульд	хууль <dat>
даажигналаас	даажигнал <abl>
хөгөө	хөг <voc>
толгойг	толгой <acc>
захидлыг	захидал <acc>
эдэлгээгээ	эдэлгээ <voc>
ширгээр	ширэг <ins>
устгалаас	устгал <abl>
солирт	солир <dat>
шингэлтийн	шингэлт <gen>
голионоос	голио <abl>
жүжгийг	жүжиг <acc>
зугаанд	зугаа <dat>
барилгыг	барилга <acc>
хожуулаар	хожуул <ins>
хаялтаар	хаялт <ins>
судраас	судар <abl>
булчингийн	булчин <gen>
гахиураар	гахиур <ins>
тивээр	тив <ins>
зардлаас	зардал <abl>
илбээ	илбэ <voc>
илтгэгчид	илтгэгч <dat>
салалттай	салалт <com>
очийг	оч <acc>
стандарттай	стандарт <com>
тэтгэмжээ	тэтгэмж <voc>
хоцрогчийн	хоцрогч <gen>
эрмэлзэлтэй	эрмэлзэл <com>
найрлагыг	найрлага <acc>
зочноор	зочин <ins>
цайгаа	цай <voc>
харууслаас	харуусал <abl>
керамиктай	керамик <com>
хоншоорын	хоншоор <gen>
сейфээр	сейф <ins>
товчлуурын	товчлуур <gen>
эвлэрлийг	эвлэрэл <acc>
хураангуйг	хураангуй <acc>
анкеттай	анкет <com>
шаналгаанаас	шаналгаа <abl>
нөхөрлөлөө	нөхөрлөл <voc>
давтлагаа	давтлага <voc>
эрэлтэд	эрэлт <dat>
хавсралтаас	хавсралт <abl>
андаа	анд <voc>
нийлэгт	нийлэг <dat>
хөвөнгөөр	хөвөн <ins>
амтаа	амт <voc>
линзтэй	линз <com>
бүртгэлээс	бүртгэл <abl>
амьдралд	амьдрал <dat>
ритмээ	ритм <voc>
өтөөр	өт <ins>
ичээнээс	ичээ <abl>
хоногоос	хоног <abl>
ослын	осол <gen>
шургуулгатай	шургуулга <com>
тэмдэглэлийн	тэмдэглэл <gen>
бүтээлд	бүтээл <dat>
хэвийн	хэвийн <gen>
тэмдэглэгээнд	тэмдэглэгээ <dat>
захиалагчтай	захиалагч <com>
долгионыг	долгион <acc>
адын	ад <gen>
довоос	дов <abl>
гаргалтаа	гаргалт <voc>
хэсэгтэй	хэсэг <com>
консулын	консул <gen>
охины	охин <gen>
сонирхогчоос	сонирхогчийн <abl>
эдэлгээтэй	эдэлгээ <com>
илгээгчтэй	илгээгч <com>
фракцаа	фракц <voc>
хөдөлгүүрээр	хөдөлгүүр <ins>
байлдагчийн	байлдагч <gen>
атомд	атом <dat>
баримтад	баримт <dat>
төлөөлөгчийн	төлөөлөгч <gen>
гараанаас	гараа <abl>
цайзаа	цайз <voc>
хүслээ	хүсэл <voc>
мэдээллээр	мэдээлэл <ins>
үүсгүүрийг	үүсгүүр <acc>
лавлагаатай	лавлагаа <com>
олсонд	олс <dat>
цуургаар	цуурга <ins>
картын	карт <gen>
дүүжинтэй	дүүжин <com>
бараагаа	бараа <voc>
шарилаа	шарил <voc>
уриалгаа	уриалга <voc>
огтлоостой	огтлоос <com>
цэцэгжүүлэлтээ	цэцэгжүүлэлт <voc>
найрууламжаас	найрууламж <abl>
хүсэлд	хүсэл <dat>
алхмын	алхам <gen>
дүрвэгчид	дүрвэгчид <dat>
хамтралаас	хамтрал <abl>
шошийн	шош <gen>
заншлын	заншил <gen>
нийтлэлээс	нийтлэл <abl>
онгодын	онгод <gen>
дайчнаа	дайчин <voc>
хасалтыг	хасалт <acc>
сахлаа	сахал <voc>
хамтатгалд	хамтатгал <dat>
зүйлийг	зүйл <acc>
нүхийг	нүх <acc>
мөрдлөгөөс	мөрдлөг <abl>
саадаар	саад <ins>
тоглоомтой	тоглоом <com>
тэжээлээр	тэжээл <ins>
конусаар	конус <ins>
сургаалаас	сургаал <abl>
лакийн	лак <gen>
өчлөөр	өчил <ins>
заргатай	зарга <com>
таазтай	тааз <com>
бичгээр	бичиг <ins>
даяанчийг	даяанч <acc>
цогцсын	цогцос <gen>
баяртай	баяр <com>
бичиглэлд	бичиглэл <dat>
махчинд	махчин <dat>
философиор	философи <ins>
хэрэгтний	хэрэгтэн <gen>
үйлчлүүлэгчээр	үйлчлүүлэгч <ins>
нүүрстөрөгчөө	нүүрстөрөгч <voc>
чимэглэлээр	чимэглэл <ins>
дэлгэрэлтээр	дэлгэрэлт <ins>
хэмжүүрийг	хэмжүүр <acc>
хормойгоор	хормой <ins>
шийдвэртэй	шийдвэр <com>
хурлаас	хурал <abl>
элчээр	элч <ins>
тариаг	тариа <acc>
язгууртныг	язгууртан <acc>
цилиндрээс	цилиндр <abl>
дуулиас	дууль <abl>
онгоцыг	онгоц <acc>
чихрийг	чихэр <acc>
үйлчлэлээ	үйлчлэл <voc>
кабельтай	кабель <com>
оршлоо	оршил <voc>
цуунаас	цуу <abl>
хасагдагчтай	хасагдагч <com>
оргилын	оргил <gen>
элэгтэй	элэг <com>
үйлтэй	үйл <com>
бичигт	бичиг <dat>
углаашийг	углааш <acc>
гацуураас	гацуур <abl>
ёзоороор	ёзоор <ins>
армид	арми <dat>
хувилбараас	хувилбар <abl>
засварчнаас	засварчин <abl>
санамжаар	санамж <ins>
худалдааны	худалдаа <gen>
хурдатгалаа	хурдатгал <voc>
зуршлаа	зуршил <voc>
зорчигчтой	зорчигч <com>
тэсрэлтээр	тэсрэлт <ins>
уулзварын	уулзвар <gen>
үхлийг	үхэл <acc>
шивнээг	шивнээ <acc>
услагчид	услагч <dat>
батжилтын	батжилт <gen>
хорсолтой	хорсол <com>
аймгаар	аймаг <ins>
шилжилтээ	шилжилт <voc>
холгодостой	холгодос <com>
клиникээ	клиник <voc>
анализын	анализ <gen>
зөвлөмжийн	зөвлөмж <gen>
амлалтаа	амлалт <voc>
амжилтаар	амжилт <ins>
видеогоор	видео <ins>
пүршний	пүрш <gen>
арийг	ари <acc>
лааг	лаа <acc>
дуудлагын	дуудлага <gen>
егөөдлөө	егөөдөл <voc>
өөрчлөгчөө	өөрчлөгч <voc>
тулаанд	тулаан <dat>
биеэс	бие <abl>
өгөгдлөөр	өгөгдөл <ins>
энгэсгээр	энгэсэг <ins>
хүчтэй	хүч <com>
үзүүлэлтээ	үзүүлэлт <voc>
журамтай	журам <com>
актаар	акт <ins>
нотолгооноос	нотолгоо <abl>
жагсаалтай	жагсаал <com>
уйтгарын	уйтгар <gen>
баривчилгааны	баривчилгаа <gen>
чичирхийллийг	чичирхийлэл <acc>
хийлчээ	хийлч <voc>
дарамтаар	дарамт <ins>
газрыг	газар <acc>
тушаалтай	тушаал <com>
явуулгаа	явуулга <voc>
шатыг	шат <acc>
залгамжлагчид	залгамжлагч <dat>
хаалганы	хаалга <gen>
ахлагчаа	ахлагч <voc>
гуйлгатай	гуйлга <com>
хүндрэлд	хүндрэл <dat>
нөхцөлийг	нөхцөл <acc>
дуртай	дураараа <com>
костюмаас	костюм <abl>
зурагчнаар	зурагчин <ins>
оргодлын	оргодол <gen>
хөгийг	хөг <acc>
хилэгнэлд	хилэгнэл <dat>
нэхийгээс	нэхий <abl>
масктай	маск <com>
дүрсээ	дүрс <voc>
зангиагаа	зангиа <voc>
пивоо	пиво <voc>
тэрслэгчээс	тэрслэгч <abl>
цэрэнд	цэр <dat>
гөрөөг	гөрөө <acc>
нидрүүлгийн	нидрүүлэг <gen>
завинд	завь <dat>
бөглөөтэй	бөглөө <com>
элэгдлээс	элэгдэл <abl>
лоозонгоос	лоозон <abl>
бамбайгаа	бамбай <voc>
ялгаатай	ялгаа <com>
засвартай	засвар <com>
иргэний	иргэн <gen>
гагнуурчнаас	гагнуурчин <abl>
хатаагчид	хатаагч <dat>
хонинд	хонь <dat>
онцлогт	онцлог <dat>
савлуураа	савлуур <voc>
уршгаар	уршиг <ins>
материализмтай	материализм <com>
шүүгчээс	шүүгч <abl>
шаталтын	шаталт <gen>
сүсгийн	сүсэг <gen>
махчныг	махчин <acc>
зангианы	зангиа <gen>
зарцаар	зарц <ins>
идеализмд	идеализм <dat>
бичээсийг	бичээс <acc>
ээрүүлд	ээрүүл <dat>
хэрсүүнээс	хэрсүү <abl>
илэрхийлэлд	илэрхийлэл <dat>
дуулганы	дуулга <gen>
галуунд	галуу <dat>
гүнжидтэй	гүнжид <com>
зогсцын	зогсоц <gen>
цэвэрлэгээнд	цэвэрлэгээ <dat>
сонирхлоор	сонирхол <ins>
хавиргатай	хавирга <com>
хэллэгээр	хэллэг <ins>
даяаныг	даяан <acc>
мөчрийг	мөчир <acc>
угсралтаар	угсралт <ins>
зарчмыг	зарчим <acc>
нохойгоор	нохой <ins>
мөлжлөгтэй	мөлжлөг <com>
ногдлын	ногдол <gen>
багштай	багш <com>
аюулын	аюул <gen>
мэрийлтээ	мэрийлт <voc>
найраар	найр <ins>
мөхөөлдсөөр	мөхөөлдөс <ins>
шээстэй	шээс <com>
өмсгөлтэй	өмсгөл <com>
совингоос	совин <abl>
дуудлагыг	дуудлага <acc>
гэрлэлтээс	гэрлэлт <abl>
хэвээс	хэвийн <abl>
дэнг	дэн <acc>
үдэшлэгтэй	үдэшлэг <com>
онд	он <dat>
хүүхдээс	хүүхэд <abl>
хэрэгцээнд	хэрэгцээ <dat>
хөтөчтэй	хөтөч <com>
талын	тал <gen>
өгүүлэгдэхүүнээ	өгүүлэгдэхүүн <voc>
багсны	багс <gen>
бэлгээр	бэлэг <ins>
өөрчлөлөө	өөрчлөл <voc>
түүхээр	түүх <ins>
хөгөөр	хөг <ins>
тосоо	тос <voc>
цуглуулгын	цуглуулга <gen>
суултуураас	суултуур <abl>
хучилтаа	хучилт <voc>
босуулаа	босуул <voc>
гавьяагаар	гавьяа <ins>
ачаа	ач <voc>
наалдцаас	наалдац <abl>
уншлагаар	уншлага <ins>
эмчээс	эмч <abl>
сөргөлдөөнд	сөргөлдөөн <dat>
шүүмжлэгчид	шүүмжлэгч <dat>
иргэнээс	иргэн <abl>
савангаа	саван <voc>
мансууралд	мансуурал <dat>
нөхөрлөлтэй	нөхөрлөл <com>
яамтай	яам <com>
ноёрхлыг	ноёрхол <acc>
үзэгдэлтэй	үзэгдэл <com>
төвлөрүүлэлтээ	төвлөрүүлэлт <voc>
карттай	карт <com>
бодолтыг	бодолт <acc>
дуулганаас	дуулга <abl>
давхаргын	давхарга <gen>
загасчнаар	загасчин <ins>
банзаа	банз <voc>
алгатай	алга <com>
төгсөгчөөр	төгсөгч <ins>
авгалдайнаас	авгалдай <abl>
тарилгаар	тарилга <ins>
тээрмийг	тээрэм <acc>
наймаагаар	наймаа <ins>
бараатай	бараа <com>
өтгөнд	өтгөн <dat>
давтлагаар	давтлага <ins>
дархлаагаа	дархлаа <voc>
туршилтаар	туршилт <ins>
тоглоомыг	тоглоом <acc>
хоцрогчид	хоцрогч <dat>
хураангуйд	хураангуй <dat>
шаналгаагаар	шаналгаа <ins>
талаас	тал <abl>
бухимдалд	бухимдал <dat>
товхимлын	товхимол <gen>
шидэлтэд	шидэлт <dat>
цохиогоор	цохио <ins>
эвлэрүүлэгчээ	эвлэрүүлэгч <voc>
бухимдлаа	бухимдал <voc>
цэнгүүнийг	цэнгүүн <acc>
удирдлагаар	удирдлага <ins>
ажиллагаанд	ажиллагаа <dat>
тахалд	тахал <dat>
хайчийг	хайч <acc>
уулзвартай	уулзвар <com>
угжийг	угж <acc>
тархалтаа	тархалт <voc>
цэрэгтэй	цэрэг <com>
ноёноор	ноён <ins>
хэмжигчээ	хэмжигч <voc>
салбарт	салбар <dat>
үүргэвчний	үүргэвч <gen>
хошуучаас	хошууч <abl>
үзлэгээр	үзлэг <ins>
молекулын	молекул <gen>
баримжаагаар	баримжаа <ins>
хүүхдээ	хүүхэд <voc>
тавилгаар	тавилга <ins>
харагдцад	харагдац <dat>
симфониос	симфони <abl>
анализад	анализ <dat>
хараанаас	хараа <abl>
сульдааны	сульдаа <gen>
ариутгалын	ариутгал <gen>
символизмтой	символизм <com>
тэмцлийн	тэмцэл <gen>
хонгоор	хонго <ins>
донтны	донтон <gen>
илээчид	илээч <dat>
судалгааны	судалгаа <gen>
тасалгаагаа	тасалгаа <voc>
угтвараас	угтвар <abl>
гаралд	гарал <dat>
үсрэлтээс	үсрэлт <abl>
хуанлийг	хуанли <acc>
боолоор	боол <ins>
ялгадсанд	ялгадас <dat>
мэтгэлцэгчийн	мэтгэлцэгч <gen>
нийлүүлэлтээс	нийлүүлэлт <abl>
зугтлагын	зугтлага <gen>
давстай	давс <com>
тоншуулыг	тоншуул <acc>
бэсрэгийн	бэсрэг <gen>
жаягийг	жаяг <acc>
утгыг	утга <acc>
эсээс	эс <abl>
хавсралтаа	хавсралт <voc>
хамартай	хамар <com>
тулгуураар	тулгуур <ins>
булангаа	булан <voc>
дэвтрийг	дэвтэр <acc>
хохирлын	хохирол <gen>
шугуйд	шугуй <dat>
нягтралын	нягтрал <gen>
гуалинг	гуалин <acc>
дайчнаар	дайчин <ins>
хоригийг	хориг <acc>
зугаалгаар	зугаалга <ins>
сүнстэй	сүнс <com>
бичээчид	бичээч <dat>
мөрөөдлөөс	мөрөөдөл <abl>
дарцгаар	дарцаг <ins>
олборлолтод	олборлолт <dat>
зогдроо	зогдор <voc>
жоотуугаа	жоотуу <voc>
дамчинд	дамчин <dat>
бэртэлтийг	бэртэлт <acc>
хадгалалтын	хадгалалт <gen>
угаалтуурт	угаалтуур <dat>
жигнэмэгт	жигнэмэг <dat>
хүчлийг	хүчил <acc>
асуултаа	асуулт <voc>
хэлэлцүүлгээр	хэлэлцүүлэг <ins>
хоригоо	хориг <voc>
багтрааг	багтраа <acc>
диваажинг	диваажин <acc>
булингараа	булингар <voc>
сэлгээтэй	сэлгээ <com>
оройгоос	орой <abl>
самбараас	самбар <abl>
тотиор	тоть <ins>
эдтэй	эд <com>
үдэшлэгт	үдэшлэг <dat>
билетээс	билет <abl>
сургамжид	сургамж <dat>
хуягаар	хуяг <ins>
сургаалд	сургаал <dat>
дискийг	диск <acc>
ургацгаас	ургацаг <abl>
егөөгөө	егөө <voc>
тасалгааг	тасалгаа <acc>
ванг	ван <acc>
эсэргүүцлээс	эсэргүүцэл <abl>
ёгтлолыг	ёгтлол <acc>
цохионы	цохио <gen>
хэмнэлтэй	хэмнэл <com>
зангаар	занга <ins>
дэнд	дэн <dat>
фронтоор	фронт <ins>
үргээгчийн	үргээгч <gen>
хавирганаас	хавирга <abl>
үдэшлэгээ	үдэшлэг <voc>
семинараас	семинар <abl>
ховилоо	ховил <voc>
хуурайд	хуурай <dat>
түрээслэгчээ	түрээслэгч <voc>
цэрээ	цэр <voc>
нуруунд	нуруу <dat>
уурхайчны	уурхайчин <gen>
шархлаанаас	шархлаа <abl>
гүзээлзгэнэд	гүзээлзгэнэ <dat>
хавчлагаас	хавчлага <abl>
найруулагчаас	найруулагч <abl>
хөөрөлттэй	хөөрөлт <com>
илтгэгчийн	илтгэгч <gen>
хөвгүүнээ	хөвгүүн <voc>
үнэгээс	үнэг <abl>
үнэлгээний	үнэлгээ <gen>
луйварчинтай	луйварчин <com>
суутгалтай	суутгал <com>
чимэгтэй	чимэг <com>
хавчаараа	хавчаар <voc>
ховоог	ховоо <acc>
бүжигчнээр	бүжигчин <ins>
үзүүлэлтээр	үзүүлэлт <ins>
шуналын	шунал <gen>
дагалдагчид	дагалдагч <dat>
бяслагаа	бяслаг <voc>
дүрвэгчийн	дүрвэгч <gen>
карантинаа	карантин <voc>
бахины	бахь <gen>
хөшүүргийг	хөшүүрэг <acc>
энэрлээс	энэрэл <abl>
товчлолыг	товчлол <acc>
гуйлтаар	гуйлт <ins>
богцноос	богц <abl>
хуйвалдаанаас	хуйвалдаан <abl>
хайрцгаас	хайрцаг <abl>
жатгаас	жатга <abl>
өвчнөө	өвчин <voc>
ахицын	ахиц <gen>
сэдлээ	сэдэл <voc>
гудамжнаас	гудамж <abl>
хариуцлагатай	хариуцлага <com>
гүнждээр	гүнжид <ins>
мэргэжилтнээ	мэргэжилтэн <voc>
хавчаартай	хавчаар <com>
тогтолцоогоор	тогтолцоо <ins>
алттай	алт <com>
нийцлээс	нийцэл <abl>
театраар	театр <ins>
цөлийн	цөл <gen>
зүүлтэд	зүүлт <dat>
аавтай	аавынх <com>
эрхсийг	эрхэс <acc>
өнгөнд	өнгө <dat>
андгайнаас	андгай <abl>
цондонгоос	цондон <abl>
цэнгүүнээ	цэнгүүн <voc>
ширэнгэтэй	ширэнгэ <com>
мэхлэлтээ	мэхлэлт <voc>
боломжтой	боломж <com>
тотемыг	тотем <acc>
төгсөгчөөс	төгсөгч <abl>
ширэнгээс	ширэнгэ <abl>
баталгаатай	баталгаа <com>
сагагаар	сагаг <ins>
үхлээ	үхэл <voc>
салд	сал <dat>
туслалцааны	туслалцаа <gen>
хамелеоноос	хамелеон <abl>
будгийн	будаг <gen>
бааштай	бааш <com>
ороолтод	ороолт <dat>
танхимыг	танхим <acc>
машинаар	машин <ins>
тодорхойлолтын	тодорхойлолт <gen>
аврагчид	аврагч <dat>
саадаас	саад <abl>
асраар	асар <ins>
найруулгатай	найруулга <com>
шүлтээ	шүлт <voc>
хэрэгжилтээ	хэрэгжилт <voc>
солиотой	солио <com>
нуруутай	нуруу <com>
цилиндртэй	цилиндр <com>
нөхөрлөлөөс	нөхөрлөл <abl>
ажиллагаагаа	ажиллагаа <voc>
хурандаатай	хурандаа <com>
хүзүүтэй	хүзүү <com>
боржинтой	боржин <com>
тамганаас	тамга <abl>
зөвшилцлөө	зөвшилцөл <voc>
фашизмаас	фашизм <abl>
залгамжлалтай	залгамжлал <com>
тэмдэгтэй	тэмдэг <com>
имийг	им <acc>
найруулгыг	найруулга <acc>
цоргоо	цорго <voc>
тохойгоо	тохой <voc>
шүүмжлэлийг	шүүмжлэл <acc>
адмиралын	адмирал <gen>
зохиолын	зохиол <gen>
өдөрт	өдөр <dat>
хагарлаас	хагарал <abl>
үерхлээ	үерхэл <voc>
лектортой	лектор <com>
өрөөний	өрөө <gen>
хунгийн	хун <gen>
ястантай	ястан <com>
толгойгоо	толгой <voc>
гуйлгад	гуйлга <dat>
капиталаас	капитал <abl>
тэгээс	тэг <abl>
хэмнэлийг	хэмнэл <acc>
солонгод	солонго <dat>
зараас	зар <abl>
ховсыг	ховс <acc>
сэргээлтээ	сэргээлт <voc>
үзмээ	үзэм <voc>
үйлээс	үйл <abl>
тасгаа	тасаг <voc>
захирамжаар	захирамж <ins>
хирст	хирс <dat>
зуунаа	зуун <voc>
тогтвороо	тогтвор <voc>
эдээ	эд <voc>
нийлэмжтэй	нийлэмж <com>
хөөсөө	хөөс <voc>
өдрөө	өдөр <voc>
хуулбараас	хуулбар <abl>
шилжилтийг	шилжилт <acc>
ёжлолыг	ёжлол <acc>
санхүүчид	санхүүч <dat>
төөрөгдлөө	төөрөгдөл <voc>
тэнхлэгээ	тэнхлэг <voc>
таргалалтаар	таргалалт <ins>
чимэглэлийн	чимэглэл <gen>
хэвлийгээс	хэвлий <abl>
ахицыг	ахиц <acc>
багшаа	багш <voc>
наадамд	наадам <dat>
сэдэгчээ	сэдэгч <voc>
сүйг	сүй <acc>
эвдрэлтэй	эвдрэл <com>
царцаанд	царцаа <dat>
дэвсгэрт	дэвсгэр <dat>
эргэцүүллээс	эргэцүүлэл <abl>
тагтаанаас	тагтаа <abl>
арбитраас	арбитр <abl>
харвалтаа	харвалт <voc>
бодлыг	бодол <acc>
архитектураар	архитектур <ins>
доргионд	доргио <dat>
хигээсээ	хигээс <voc>
хураангуйнаас	хураангуй <abl>
үсрэлтийг	үсрэлт <acc>
эдээс	эд <abl>
хуанлиас	хуанли <abl>
дасгалын	дасгал <gen>
ишээ	иш <voc>
ялгавраас	ялгавар <abl>
биежилттэй	биежилт <com>
хандиваар	хандив <ins>
шарилтай	шарил <com>
цөлтэй	цөл <com>
хагарлаа	хагарал <voc>
киног	кино <acc>
боловсруулалтаар	боловсруулалт <ins>
гавлаа	гавал <voc>
захидалд	захидал <dat>
товчийн	товч <gen>
тармуураар	тармуур <ins>
жүжгээр	жүжиг <ins>
айдсаа	айдас <voc>
асуулгаар	асуулга <ins>
клубийг	клуб <acc>
ахицаар	ахиц <ins>
дамжуулалттай	дамжуулалт <com>
үүсгэлд	үүсгэл <dat>
хамгааллыг	хамгаалал <acc>
хүртвэрт	хүртвэр <dat>
эхлэлийг	эхлэл <acc>
хадгаламжаа	хадгаламж <voc>
ээрүүлээр	ээрүүл <ins>
шүүмжлэлтэй	шүүмжлэл <com>
квадратаас	квадрат <abl>
тохиргоог	тохиргоо <acc>
товхимолтой	товхимол <com>
онооны	оноо <gen>
дамжуулалтаар	дамжуулалт <ins>
вальсаар	вальс <ins>
сэдвээр	сэдэв <ins>
донг	дон <acc>
залгаасыг	залгаас <acc>
бондоор	бонд <ins>
нугасны	нугас <gen>
дизайнераас	дизайнер <abl>
харилцаагаа	харилцаа <voc>
бариултай	бариул <com>
ганцаардалтай	ганцаардал <com>
тактикаа	тактик <voc>
гайхамшигтай	гайхамшиг <com>
чуулгаа	чуулга <voc>
уусмалтай	уусмал <com>
банкны	банк <gen>
ажиглалтаас	ажиглалт <abl>
үзэгдлээр	үзэгдэл <ins>
хөргийг	хөрөг <acc>
сүйтгэгчийн	сүйтгэгч <gen>
сайжруулалтаас	сайжруулалт <abl>
шүрэнд	шүр <dat>
өөрчлөлийн	өөрчлөл <gen>
бэлэгтэй	бэлэг <com>
амттанаа	амттан <voc>
торноос	торт <abl>
хулмастай	хулмас <com>
өсөлтөөр	өсөлт <ins>
зорилтод	зорилт <dat>
хүүрзгэнээр	хүүрзгэнэ <ins>
урсгалын	урсгал <gen>
нумаар	нум <ins>
тагттай	тагт <com>
симфониор	симфони <ins>
хавтастай	хавтас <com>
тэргүүлэгчтэй	тэргүүлэгчид <com>
заламгайгаар	заламгай <ins>
гялбаагаа	гялбаа <voc>
чимхүүрт	чимхүүр <dat>
тоосгыг	тоосго <acc>
карантины	карантин <gen>
буцалтаа	буцалт <voc>
зэрэглэлээ	зэрэглэл <voc>
аршаар	арш <ins>
унаганаас	унага <abl>
эзэгнэлээс	эзэгнэл <abl>
шивнээтэй	шивнээ <com>
масштабаа	масштаб <voc>
эхийг	эх <acc>
бодролоо	бодрол <voc>
бодисын	бодис <gen>
ялагдлыг	ялагдал <acc>
холбоонд	холбоо <dat>
хамсаатантай	хамсаатан <com>
сүсэгтэй	сүсэг <com>
илээ	ил <voc>
өдрийн	өдөр <gen>
тараалтад	тараалт <dat>
дархлаагаар	дархлаа <ins>
амьтнаас	амьтан <abl>
эсэргүүцлээ	эсэргүүцэл <voc>
постын	пост <gen>
үзлэгээс	үзлэг <abl>
хэрэгсэлтэй	хэрэгсэл <com>
амьсгалын	амьсгал <gen>
танилд	танил <dat>
зураачаар	зураач <ins>
оптимизмын	оптимизм <gen>
шилбэнд	шилбэ <dat>
яндангаа	яндан <voc>
туршилтын	туршилт <gen>
сэвтэй	сэв <com>
нислэгтэй	нислэг <com>
сургуультай	сургууль <com>
өмхийээс	өмхий <abl>
эргэлзлийг	эргэлзэл <acc>
ирмэгт	ирмэг <dat>
хоншоорыг	хоншоор <acc>
тавилангаа	тавилан <voc>
зөгнөлөө	зөгнөл <voc>
индукцтэй	индукц <com>
тэмдэглэлээ	тэмдэглэл <voc>
яндантай	яндан <com>
дусалд	дусал <dat>
хуваарилалтын	хуваарилалт <gen>
пуужингаа	пуужин <voc>
голомтоос	голомт <abl>
зогсцоо	зогсоц <voc>
ухааралтай	ухаарал <com>
шуудайнаас	шуудай <abl>
далдлалтаа	далдлалт <voc>
ирцийн	ирц <gen>
таазнаас	тааз <abl>
хайгуулыг	хайгуул <acc>
сонирхлын	сонирхол <gen>
гайхамшгаа	гайхамшиг <voc>
адгуусаар	адгуус <ins>
үйлчлэгчээ	үйлчлэгч <voc>
лавлахаас	лавлах <abl>
гурилтай	гурил <com>
хурданд	хурд <dat>
устгалыг	устгал <acc>
оноогоо	оноо <voc>
торны	тор <gen>
оврыг	овор <acc>
усталын	устал <gen>
хүзүүгээр	хүзүү <ins>
хаврын	хавар <gen>
цонхоо	цонх <voc>
зааврын	заавар <gen>
завхралтай	завхрал <com>
судлаачид	судлаач <dat>
чихэнд	чих <dat>
хуйвалдаанд	хуйвалдаан <dat>
нэмэлтээр	нэмэлт <ins>
толгойлогчоор	толгойлогч <ins>
суурьд	суурь <dat>
бололцоог	бололцоо <acc>
цуглуулгаар	цуглуулга <ins>
тоншуулаа	тоншуул <voc>
материализмаар	материализм <ins>
хавтантай	хавтан <com>
шошоо	шош <voc>
цондонтой	цондон <com>
зураглаачаа	зураглаач <voc>
командлагчад	командлагч <dat>
хорхойгоос	хорхой <abl>
доголдлоос	доголдол <abl>
шийрээ	шийр <voc>
даргад	дарга <dat>
бичгээс	бичиг <abl>
хэвлэлээс	хэвлэл <abl>
үечлэлтэй	үечлэл <com>
вирустэй	вирус <com>
хараалд	хараал <dat>
шүлэгчийн	шүлэгч <gen>
карантинд	карантин <dat>
луустай	луус <com>
журамд	журам <dat>
цахирмаанд	цахирмаа <dat>
мөрдсөөр	мөрдөс <ins>
тулалдаанаа	тулалдаан <voc>
бөөмд	бөөм <dat>
хориглолтод	хориглолт <dat>
бэрхээр	бэрх <ins>
дүрэмд	дүрмийн <dat>
халаасны	халаас <gen>
жаягаас	жаяг <abl>
задралын	задрал <gen>
эрэлттэй	эрэлт <com>
ширээсэнд	ширээс <dat>
онолчоо	онолч <voc>
байцаагчийн	байцаагч <gen>
оператортай	оператор <com>
хатгамлыг	хатгамал <acc>
тэтгэмжээр	тэтгэмж <ins>
уршигт	уршиг <dat>
шөлийг	шөл <acc>
трансформаторт	трансформатор <dat>
анчнаас	анчин <abl>
гэрлэлтээ	гэрлэлт <voc>
төрийн	төр <gen>
дохиураар	дохиур <ins>
азоттой	азот <com>
ёроолоос	ёроол <abl>
найрамдлыг	найрамдал <acc>
гэмшлийг	гэмшил <acc>
зуунаас	зуун <abl>
түрийвчээ	түрийвч <voc>
оргуулаа	оргуул <voc>
цохиурыг	цохиур <acc>
сауны	саун <gen>
инженерээр	инженер <ins>
төрлийн	төрөл <gen>
чагнаалын	чагнаал <gen>
асуулгаас	асуулга <abl>
оромжийн	оромж <gen>
хаалгачийн	хаалгач <gen>
уулаа	уул <voc>
шүүрлээ	шүүрэл <voc>
хөдөлгөгчөөс	хөдөлгөгч <abl>
дурсамжид	дурсамж <dat>
шангаар	шан <ins>
хөргүүртэй	хөргүүр <com>
хэлэлцүүлгийг	хэлэлцүүлэг <acc>
бөгсийг	бөгс <acc>
хамтрагчийн	хамтрагч <gen>
